direction,alpha,coherent,probe_layer,position,target,acc_unsteered,acc_steered,d_acc,margin_shift_sd,margin_sd_ratio,dcontrast
intent_probe,-0.2,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,-0.0059
intent_probe,-0.2,True,24,downstream,intent,0.8926,0.5,-0.3926,-2.4409,0.7423,-0.0059
intent_probe,-0.2,True,24,downstream,outcome,0.9966,0.9832,-0.0134,0.2385,0.906,-0.0059
intent_probe,-0.2,True,32,final layer,intent,0.8624,0.5,-0.3624,-2.2696,0.8481,-0.0059
intent_probe,-0.2,True,32,final layer,outcome,0.9899,0.9832,-0.0067,0.2456,0.9276,-0.0059
intent_probe,-0.15,True,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,0.003
intent_probe,-0.15,True,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,0.003
intent_probe,-0.15,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,0.003
intent_probe,-0.15,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,0.003
intent_probe,-0.15,True,24,downstream,intent,0.8926,0.5067,-0.3859,-1.918,0.8225,0.003
intent_probe,-0.15,True,24,downstream,outcome,0.9966,0.9899,-0.0067,0.1672,0.963,0.003
intent_probe,-0.15,True,32,final layer,intent,0.8624,0.5201,-0.3423,-1.6709,0.8828,0.003
intent_probe,-0.15,True,32,final layer,outcome,0.9899,0.9832,-0.0067,0.1653,0.9691,0.003
intent_probe,-0.1,True,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,-0.0018
intent_probe,-0.1,True,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,-0.0018
intent_probe,-0.1,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,-0.0018
intent_probe,-0.1,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,-0.0018
intent_probe,-0.1,True,24,downstream,intent,0.8926,0.5906,-0.302,-1.2184,0.9072,-0.0018
intent_probe,-0.1,True,24,downstream,outcome,0.9966,0.9966,0.0,0.0751,1.0122,-0.0018
intent_probe,-0.1,True,32,final layer,intent,0.8624,0.6309,-0.2315,-1.0598,0.9244,-0.0018
intent_probe,-0.1,True,32,final layer,outcome,0.9899,0.9866,-0.0034,0.0742,1.0074,-0.0018
intent_probe,-0.05,True,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,0.0005
intent_probe,-0.05,True,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,0.0005
intent_probe,-0.05,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,0.0005
intent_probe,-0.05,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,0.0005
intent_probe,-0.05,True,24,downstream,intent,0.8926,0.7617,-0.1309,-0.6052,0.9592,0.0005
intent_probe,-0.05,True,24,downstream,outcome,0.9966,0.9966,0.0,0.0392,1.0131,0.0005
intent_probe,-0.05,True,32,final layer,intent,0.8624,0.7584,-0.104,-0.5198,0.9614,0.0005
intent_probe,-0.05,True,32,final layer,outcome,0.9899,0.9866,-0.0034,0.0382,1.0086,0.0005
intent_probe,-0.025,True,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,0.0006
